Atomic Mass,Atomic Number,Symbol
1.0079,1,H
4.0026,2,He
6.941,3,Li
9.0122,4,Be
10.811,5,B
12.0107,6,C
14.0067,7,N
15.9994,8,O
18.9984,9,F
20.1797,10,Ne
22.9897,11,Na
24.305,12,Mg
26.9815,13,Al
28.0855,14,Si
30.9738,15,P
32.065,16,S
35.453,17,Cl
39.948,18,Ar
39.0983,19,K
40.078,20,Ca
44.9559,21,Sc
47.867,22,Ti
50.9415,23,V
51.9961,24,Cr
54.938,25,Mn
55.845,26,Fe
58.9332,27,Co
58.6934,28,Ni
63.546,29,Cu
65.39,30,Zn
69.723,31,Ga
72.64,32,Ge
74.9216,33,As
78.96,34,Se
79.904,35,Br
83.798,36,Kr
85.4678,37,Rb
87.62,38,Sr
88.906,39,Y
91.224,40,Zr
92.906,41,Nb
95.94,42,Mo
98.0,43,Tc
101.07,44,Ru
102.91,45,Rh
106.42,46,Pd
107.87,47,Ag
112.411,48,Cd
114.82,49,In
118.71,50,Sn
121.76,51,Sb
127.6,52,Te
126.9045,53,I
131.293,54,Xe
132.91,55,Cs
137.327,56,Ba
138.91,57,La
140.12,58,Ce
140.9077,59,Pr
144.24,60,Nd
145.0,61,Pm
150.36,62,Sm
151.964,63,Eu
157.25,64,Gd
158.9253,65,Tb
162.5,66,Dy
164.9303,67,Ho
167.259,68,Er
168.9342,69,Tm
173.04,70,Yb
174.967,71,Lu
178.49,72,Hf
180.9479,73,Ta
183.84,74,W
186.207,75,Re
190.23,76,Os
192.22,77,Ir
195.08,78,Pt
196.97,79,Au
200.59,80,Hg
204.3833,81,Tl
207.2,82,Pb
208.9804,83,Bi
209.0,84,Po
210.0,85,At
222.0,86,Rn
223.0,87,Fr
226.0,88,Ra
227.0,89,Ac
232.0381,90,Th
231.0359,91,Pa
238.0289,92,U
