,E,murho,muenrho,element,elnum
0,0.001,7.217,6.82,H,1
1,0.0015,2.148,1.752,H,1
2,0.002,1.059,0.6643,H,1
3,0.003,0.5612,0.1693,H,1
4,0.004,0.4546,0.06549,H,1
5,0.005,0.4193,0.03278,H,1
6,0.006,0.4042,0.01996,H,1
7,0.008,0.3914,0.0116,H,1
8,0.01,0.3854,0.009849,H,1
9,0.015,0.3764,0.01102,H,1
10,0.02,0.3695,0.01355,H,1
11,0.03,0.357,0.01863,H,1
12,0.04,0.3458,0.02315,H,1
13,0.05,0.3355,0.02709,H,1
14,0.06,0.326,0.03053,H,1
15,0.08,0.3091,0.0362,H,1
16,0.1,0.2944,0.04063,H,1
17,0.15,0.2651,0.04813,H,1
18,0.2,0.2429,0.05254,H,1
19,0.3,0.2112,0.05695,H,1
20,0.4,0.1893,0.0586,H,1
21,0.5,0.1729,0.059,H,1
22,0.6,0.1599,0.05875,H,1
23,0.8,0.1405,0.05739,H,1
24,1.0,0.1263,0.05556,H,1
25,1.25,0.1129,0.05311,H,1
26,1.5,0.1027,0.05075,H,1
27,2.0,0.08769,0.0465,H,1
28,3.0,0.06921,0.03992,H,1
29,4.0,0.05806,0.03523,H,1
30,5.0,0.05049,0.03174,H,1
31,6.0,0.04498,0.02905,H,1
32,8.0,0.03746,0.02515,H,1
33,10.0,0.03254,0.02247,H,1
34,15.0,0.02539,0.01837,H,1
35,20.0,0.02153,0.01606,H,1
0,0.001,60.84,60.45,He,2
1,0.0015,16.76,16.38,He,2
2,0.002,6.863,6.503,He,2
3,0.003,2.007,1.681,He,2
4,0.004,0.9329,0.6379,He,2
5,0.005,0.5766,0.3061,He,2
6,0.006,0.4195,0.1671,He,2
7,0.008,0.2933,0.06446,He,2
8,0.01,0.2476,0.0326,He,2
9,0.015,0.2092,0.01246,He,2
10,0.02,0.196,0.00941,He,2
11,0.03,0.1838,0.01003,He,2
12,0.04,0.1763,0.0119,He,2
13,0.05,0.1703,0.01375,He,2
14,0.06,0.1651,0.01544,He,2
15,0.08,0.1562,0.01826,He,2
16,0.1,0.1486,0.02047,He,2
17,0.15,0.1336,0.02424,He,2
18,0.2,0.1224,0.02647,He,2
19,0.3,0.1064,0.02868,He,2
20,0.4,0.09535,0.02951,He,2
21,0.5,0.08707,0.02971,He,2
22,0.6,0.08054,0.02959,He,2
23,0.8,0.07076,0.0289,He,2
24,1.0,0.06362,0.02797,He,2
25,1.25,0.05688,0.02674,He,2
26,1.5,0.05173,0.02555,He,2
27,2.0,0.04422,0.02343,He,2
28,3.0,0.03503,0.02019,He,2
29,4.0,0.02949,0.0179,He,2
30,5.0,0.02577,0.01622,He,2
31,6.0,0.02307,0.01493,He,2
32,8.0,0.0194,0.01308,He,2
33,10.0,0.01703,0.01183,He,2
34,15.0,0.01363,0.009948,He,2
35,20.0,0.01183,0.08914,He,2
0,0.001,233.9,233.5,Li,3
1,0.0015,66.68,66.29,Li,3
2,0.002,27.07,26.72,Li,3
3,0.003,7.549,7.249,Li,3
4,0.004,3.114,2.84,Li,3
5,0.005,1.619,1.364,Li,3
6,0.006,0.9875,0.7477,Li,3
7,0.008,0.5054,0.2888,Li,3
8,0.01,0.3395,0.1387,Li,3
9,0.015,0.2176,0.0391,Li,3
10,0.02,0.1856,0.01885,Li,3
11,0.03,0.1644,0.01138,Li,3
12,0.04,0.1551,0.01131,Li,3
13,0.05,0.1488,0.01237,Li,3
14,0.06,0.1438,0.01361,Li,3
15,0.08,0.1356,0.01588,Li,3
16,0.1,0.1289,0.01776,Li,3
17,0.15,0.1158,0.02098,Li,3
18,0.2,0.106,0.0229,Li,3
19,0.3,0.0921,0.02481,Li,3
20,0.4,0.08249,0.02552,Li,3
21,0.5,0.07532,0.02569,Li,3
22,0.6,0.06968,0.02559,Li,3
23,0.8,0.06121,0.02499,Li,3
24,1.0,0.05503,0.02419,Li,3
25,1.25,0.04921,0.02312,Li,3
26,1.5,0.04476,0.0221,Li,3
27,2.0,0.0383,0.02028,Li,3
28,3.0,0.03043,0.01753,Li,3
29,4.0,0.02572,0.01561,Li,3
30,5.0,0.02257,0.01422,Li,3
31,6.0,0.0203,0.01316,Li,3
32,8.0,0.01725,0.01167,Li,3
33,10.0,0.01529,0.01066,Li,3
34,15.0,0.01252,0.009182,Li,3
35,20.0,0.01109,0.08385,Li,3
0,0.001,604.1,603.5,Be,4
1,0.0015,179.7,179.1,Be,4
2,0.002,74.69,74.22,Be,4
3,0.003,21.27,20.9,Be,4
4,0.004,8.685,8.367,Be,4
5,0.005,4.369,4.081,Be,4
6,0.006,2.527,2.26,Be,4
7,0.008,1.124,0.8839,Be,4
8,0.01,0.6466,0.4255,Be,4
9,0.015,0.307,0.1143,Be,4
10,0.02,0.2251,0.0478,Be,4
11,0.03,0.1792,0.01898,Be,4
12,0.04,0.164,0.01438,Be,4
13,0.05,0.1554,0.01401,Be,4
14,0.06,0.1493,0.01468,Be,4
15,0.08,0.1401,0.01658,Be,4
16,0.1,0.1328,0.01836,Be,4
17,0.15,0.119,0.02157,Be,4
18,0.2,0.1089,0.02353,Be,4
19,0.3,0.09463,0.02548,Be,4
20,0.4,0.08471,0.0262,Be,4
21,0.5,0.07739,0.02639,Be,4
22,0.6,0.07155,0.02627,Be,4
23,0.8,0.06286,0.02565,Be,4
24,1.0,0.05652,0.02483,Be,4
25,1.25,0.05054,0.02373,Be,4
26,1.5,0.04597,0.02268,Be,4
27,2.0,0.03938,0.02083,Be,4
28,3.0,0.03138,0.01806,Be,4
29,4.0,0.02664,0.01617,Be,4
30,5.0,0.02347,0.01479,Be,4
31,6.0,0.02121,0.01377,Be,4
32,8.0,0.01819,0.01233,Be,4
33,10.0,0.01627,0.01138,Be,4
34,15.0,0.01361,0.01001,Be,4
35,20.0,0.01227,0.09294,Be,4
0,0.001,1229.0,1228.0,B,5
1,0.0015,376.6,375.9,B,5
2,0.002,159.7,159.1,B,5
3,0.003,46.67,46.17,B,5
4,0.004,19.27,18.86,B,5
5,0.005,9.683,9.332,B,5
6,0.006,5.538,5.223,B,5
7,0.008,2.346,2.072,B,5
8,0.01,1.255,1.006,B,5
9,0.015,0.4827,0.2698,B,5
10,0.02,0.3014,0.1084,B,5
11,0.03,0.2063,0.03506,B,5
12,0.04,0.1793,0.02084,B,5
13,0.05,0.1665,0.01737,B,5
14,0.06,0.1583,0.0168,B,5
15,0.08,0.1472,0.01785,B,5
16,0.1,0.1391,0.0194,B,5
17,0.15,0.1243,0.02255,B,5
18,0.2,0.1136,0.02453,B,5
19,0.3,0.09862,0.02654,B,5
20,0.4,0.08834,0.02731,B,5
21,0.5,0.08065,0.02749,B,5
22,0.6,0.0746,0.02737,B,5
23,0.8,0.06549,0.02671,B,5
24,1.0,0.0589,0.02586,B,5
25,1.25,0.05266,0.02472,B,5
26,1.5,0.04791,0.02362,B,5
27,2.0,0.04108,0.02171,B,5
28,3.0,0.03284,0.01889,B,5
29,4.0,0.02798,0.01698,B,5
30,5.0,0.02476,0.01562,B,5
31,6.0,0.02248,0.01461,B,5
32,8.0,0.01945,0.01322,B,5
33,10.0,0.01755,0.01232,B,5
34,15.0,0.01495,0.01104,B,5
35,20.0,0.01368,0.01039,B,5
0,0.001,2211.0,2209.0,C,6
1,0.0015,700.2,699.0,C,6
2,0.002,302.6,301.6,C,6
3,0.003,90.33,89.63,C,6
4,0.004,37.78,37.23,C,6
5,0.005,19.12,18.66,C,6
6,0.006,10.95,10.54,C,6
7,0.008,4.576,4.242,C,6
8,0.01,2.373,2.078,C,6
9,0.015,0.8071,0.5627,C,6
10,0.02,0.442,0.2238,C,6
11,0.03,0.2562,0.06614,C,6
12,0.04,0.2076,0.03343,C,6
13,0.05,0.1871,0.02397,C,6
14,0.06,0.1753,0.02098,C,6
15,0.08,0.161,0.02037,C,6
16,0.1,0.1514,0.02147,C,6
17,0.15,0.1347,0.02449,C,6
