energy (keV),flux (keV^-1 cm^-2 s^-1)
1.0,0.0
2.0,0.0
2.0,6.1703560327665995e-158
3.0,6.1703560327665995e-158
3.0,2.260915283839104e-59
4.0,2.260915283839104e-59
4.0,1.1846451689678327e-23
5.0,1.1846451689678327e-23
5.0,5.286866689712817e-09
6.0,5.286866689712817e-09
6.0,0.06502467308447266
7.0,0.06502467308447266
7.0,192.51978960286343
8.0,192.51978960286343
8.0,16.880701155973956
9.0,16.880701155973956
9.0,569.5721178444917
10.0,569.5721178444917
10.0,12133.311072481218
11.0,12133.311072481218
11.0,238256.82662549405
12.0,238256.82662549405
12.0,1239780.2519672988
13.0,1239780.2519672988
13.0,6001489.841463468
14.0,6001489.841463468
14.0,22026805.50784498
15.0,22026805.50784498
15.0,57712757.55476325
16.0,57712757.55476325
16.0,118949400.06454384
17.0,118949400.06454384
17.0,221259538.2469938
18.0,221259538.2469938
18.0,384621570.466241
19.0,384621570.466241
19.0,575876555.2646956
20.0,575876555.2646956
20.0,363752935.8783866
21.0,363752935.8783866
21.0,546466437.8265857
22.0,546466437.8265857
22.0,738134995.2769122
23.0,738134995.2769122
23.0,972116611.7256509
24.0,972116611.7256509
24.0,1267180666.039177
25.0,1267180666.039177
25.0,1556455321.4087174
26.0,1556455321.4087174
26.0,1834747358.9093082
27.0,1834747358.9093082
27.0,2195681074.1001415
28.0,2195681074.1001415
28.0,2515261104.579553
29.0,2515261104.579553
29.0,2801322743.6365156
30.0,2801322743.6365156
30.0,3156053328.685886
31.0,3156053328.685886
31.0,3426441286.7833614
32.0,3426441286.7833614
32.0,3629044469.306492
33.0,3629044469.306492
33.0,3861157907.664302
34.0,3861157907.664302
34.0,4142932802.123753
35.0,4142932802.123753
35.0,4287120843.6915603
36.0,4287120843.6915603
36.0,4460942823.078546
37.0,4460942823.078546
37.0,4688466303.112518
38.0,4688466303.112518
38.0,4774702725.960557
39.0,4774702725.960557
39.0,4892290093.148815
40.0,4892290093.148815
40.0,5060252543.694073
41.0,5060252543.694073
41.0,5137772517.417344
42.0,5137772517.417344
42.0,5137453869.413268
43.0,5137453869.413268
